🧾 Champs exclus (non sélectionnés)
Champ	Raison d’exclusion
Type	Trop générique, peu informatif pour la prédiction du retard.
Category Id	Redondant avec Category Name.
Customer City	Peu utile seule, très granulaire, crée trop de catégories.
Customer Country	Redondant avec Market ou Order Country.
Customer Email	Identifiant unique → sans valeur prédictive.
Customer Fname	Identifiant personnel, non pertinent.
Customer Id	Identifiant unique, non prédictif.
Customer Lname	Identifiant personnel, non pertinent.
Customer Password	Donnée sensible, sans utilité analytique.
Customer State	Redondant avec Order State / Order Region.
Customer Street	Trop spécifique, pas de valeur prédictive.
Customer Zipcode	Trop granulaire, difficile à exploiter.
Department Id	Redondant avec Department Name.
Department Name	Peut être redondant avec Category Name / Market.
Latitude	Utilisable seulement avec géo-feature engineering, donc exclu pour simplification.
Longitude	Même raison que Latitude.
Order City	Déjà représenté par Order Region et Market.
Order Country	Redondant avec Market.
Order Customer Id	Identifiant unique, non prédictif.
order date (DateOrders)	Peut nécessiter un feature engineering (mois, jour, saison), donc exclu ici.
Order Item Cardprod Id	Identifiant produit, non prédictif.
Order Item Discount	Déjà représenté par Order Item Discount Rate.
Order Item Id	Identifiant unique, non pertinent.
Order Item Profit Ratio	Corrélé à Order Profit Per Order, risque de redondance.
Product Card Id	Identifiant produit, non utile seul.
Product Category Id	Redondant avec Category Name.
Product Description	Texte libre → non exploité sans NLP.
Product Image	Lien web → aucune valeur prédictive.
Product Name	Trop spécifique et catégoriel (trop de modalités).
Product Price	Corrélé avec Order Item Product Price / Sales.
Product Status	Indique disponibilité, peu corrélé au délai.
Shipping date (DateOrders)	Corrélé à la cible (risque de fuite de données).
Order State	Corrélé à Order Region.
